post_id,platform,original_text,engagement_score,date_posted,tone,tags
EP0001,LinkedIn,"Just saw a LinkedIn Influencer with 'Organic Growth' written in the profile with 65K+ followers claiming that he can help you in growing your platform, copying the posts from other influencers.",90,2021-12-09,Professional,"Influencer, Personal Growth"
EP0002,Twitter,"Jobseekers, this one’s for you.
 Every application, every interview, every follow-up… the pressure is immense.
 And I know what you're thinking: Am I not good enough? 
 But let me tell you, this isn’t about you or your skills. It’s about a broken system where 60% of applicants never hear back. 
 Your mental health is not worth sacrificing for a system that doesn’t acknowledge your worth. 
 Please remember, taking care of yourself is the real priority. 
 Your dream job will come, but for now, breathe. 🌻",347,2021-03-24,Inspirational,"Mental Health, Job Search"
EP0003,LinkedIn,"Looking for jobs on LinkedIn is like online dating: Full of promises, but in the end, you’re just left ghosted.",109,2023-12-18,Humorous,"Online Dating, Job Search"
EP0004,LinkedIn,"LinkedIn scams be like: 'Congratulations, you've been selected for a role you didn’t even apply for!' 
 The catch? Pay Rs. 50,000 for the honor.",115,2023-07-02,Humorous,"Scams, LinkedIn"
EP0005,LinkedIn,"sapne dekhna achi baat hai,
lekin job ka sapna dekh ke 'interested' likhna,
yeh toh achi baat nahi hai na?",545,2021-04-08,Humorous,"Career Development, Job Search"
EP0006,LinkedIn,"Next time when I'll be reading some LinkedIn Influencer's story, I am starting from the last line.
If there's a link attached to it, it's most probably a fake one.
Saves me time!",188,2023-04-23,Casual,"Productivity, Time Management"
EP0007,Facebook,"Every time I poured my heart into 5-6 rounds of interviews and faced rejection, it felt like a punch in the gut. The sleepless nights, the endless preparation, all for nothing.

But looking back, I realize it wasn’t nothing. It was the Universe’s way of saying, “Not this one, something better is on the way.”

Every single time, I’ve been shown why that rejection happened.

Doors I thought I wanted to walk through were shut, only to have the right ones swing open.

The kind that aligned with my growth, my values, and my happiness.

At first, it stung. It hurt deeply. But now, when things don’t go as planned, I don’t panic.

I don’t question my worth. I sit back, breathe, and trust. The Universe knows.

I know there's another plan waiting. Something bigger, better, and just for me.

To anyone feeling the weight of rejection: trust that the closed doors are protecting you from something you can’t see right now.

Your path is being cleared for something even more beautiful.",206,2021-08-19,Inspirational,"Motivation, Job Search"
EP0008,Instagram,"To everyone who's still looking for a job...

I see you. I feel you. 💔

Every rejection email feels like a punch in the gut, and every 'We'll get back to you' sounds more like 'You'll never hear from us.'

But I want you to know, you're not alone in this. 🌸

According to a study, 80% of jobseekers struggle with anxiety and self-doubt during their search. It's normal to feel lost, but it's not the end.

Take breaks, breathe, and remember, this doesn't define you. Your worth is not tied to an offer letter. 💥

Your mental health matters more than any job.",899,2021-03-23,Inspirational,"Mental Health, Job Search"
EP0009,Facebook,"Sometimes, we forget that a company’s brand name doesn’t define someone’s talent. It’s easy to get caught up in the 'big company = big talent' mindset, but that's not always the case.

I’ve had the privilege of working with people from smaller companies (lesser known) who blow me away with their skills and dedication. They don’t need a fancy title or a famous brand behind them to prove their worth.

I've seen the other side too—people in top-tier companies feeling lost, overwhelmed, or stuck, even though the world sees them as 'successful'.

Let’s stop attaching someone’s value to the company they work for. Freshers especially need to hear this—skills are what matter, not the size of the company behind them.

At the end of the day, happiness and growth don’t come from a brand name, they come from doing what you love and constantly improving your craft.",166,2022-05-05,Inspirational,"Career Advice, Personal Growth"
EP0010,Twitter,"So when I left a toxic work environment, I told my manager a simple thing and felt so good 😯

I just said-

'Hope your son gets a manager like you.
I hope that the manager behaves the same way as you did with me.
Thank you.'

Now tell me 1 thing-

She always said that she was a great manager.
Why will she get offended?

I just told her that I wish her son would get a manager like she was.

If you felt bad, then that means you were a bad manager and now you know it. 80

If you feel good, then take it as a blessing for your son and you'll really want someone to treat your son/daughter in the same way.

She cannot be even angry with me else it'll prove that she was not a 'great' manager.

Muskan - 1
Manager - 0

Muskan -> Aura +100000000

(Fictional message unfortunately :(
)

Hope you all become the people that your sons/daughters will like to work under 🙏

There are a lot of bad people/things, bring a small change and break the chain :)",1111,2022-02-03,Humorous,"Professional, Humor"
EP0011,Facebook,"I am an AI Tools & ChatGPT Expert, and my salary package is 42 LPA.

Sounds familiar? If you’ve been on YouTube recently, I’m sure you’ve seen this ad at least 100 times. Now, I have just one simple question – Can someone please tell me which companies are hiring for this role and paying 42 LPA? Because I’m also considering a career switch! 😂

See guys, learning how to use a few AI tools won't magically get you a 42 LPA job. Selling courses isn’t wrong, but selling them by giving false hopes is. Just because someone tells you that learning how to use a few AI tools will instantly land you a high-paying job doesn’t make it true.

So, a humble request – don’t fall for these unrealistic promises. Invest in courses only to upskill yourself, not with the expectation of overnight success.
If anyone actually finds this 42 LPA AI Tools & ChatGPT Expert job, please let me know. I’ll also update my resume! 🤣",319,2021-06-28,Professional,"Career Development, AI Tools"
